alarm_box_code,alarm_box_location,latitude,longitude,incident_count,average_response_time
B2653,3 AVE & 65 ST,40.63932033,-74.02354939,45,247.44444444444446
Q7917,WOODSIDE AVE & 69 ST,40.7426855,-73.89565167,18,277.5
B0801,MYRTLE AVE & PALMETTO ST,40.69953211,-73.9110349,79,209.51898734177215
B1046,NEW YORK AVE & LEFFERTS AVE,40.66253364,-73.94791393,59,277.76271186440675
B0109,RIVER & NORTH 3 STS,40.71837562,-73.96462115,4,286.5
R2465,VINCENT AVE & COVERLY ST,40.57084247,-74.12510919,7,248.57142857142858
Q3506,59 AVE & 136 ST,40.74424412,-73.82953367,3,845.6666666666666
Q4382,WYCKOFF AVE & CENTRE ST,40.69635031,-73.90540128,14,284.35714285714283
Q6353,MANOR RD & CENTER DR,40.77632656,-73.75132309,2,426.0
Q4207,METROPOLITAN AVE & PLEASANTVIEW ST,40.71245415,-73.88205387,18,329.8333333333333
R0639,NARROWS RD N 1000' W OF FINGERBOARD RD,40.60586273,-74.07242765,0,0.0
X2557,E 167 ST & STEBBINS ST/POLITE AVE,40.82627431,-73.89840604,77,320.8181818181818
X4762,W/S PARK AVE & E 186 ST,40.85790201,-73.89341592,6,281.6666666666667
B2691,12 AVE & 59 ST,40.63075638,-74.00014289,17,244.23529411764707
Q7296,50 AVE & 47 ST,40.73735689,-73.91890954,10,332.7
M0107,WEST ST BTW MURRAY ST & WARREN ST,40.71579721,-74.01291703,2,281.5
Q7838,ROOSEVELT AVE & 88 ST,40.74822266,-73.87834313,25,364.68
Q3804,50 AVE & 210 ST,40.75281186,-73.77003288,6,360.6666666666667
B1571,NOSTRAND AVE & LINDEN BLVD,40.65264232,-73.94976875,147,293.4353741496599
B1936,STANLEY AVE & BERRIMAN ST,40.66329419,-73.87475187,7,289.2857142857143
Q4014,CYPRESS AVE OPP 78 AVE,40.69515789,-73.89861514,17,347.94117647058823
Q4235,JUNIPER VALLEY RD & 75 ST,40.71548225,-73.87929945,9,372.77777777777777
B1240,4 AVE & ST MARKS PL,40.68185263,-73.9800351,33,285.75757575757575
R0712,JEWETT AVE & EGBERT AVE,40.62454541,-74.13191628,5,240.4
B3934,HERKIMER ST & JARDINE PL,40.6772081,-73.90513693,68,281.6617647058824
Q6253,5 AVE & 149 ST,40.79564319,-73.81900063,8,259.125
R0741,FOREST AVE & LIVERMORE AVE,40.6242952,-74.13722714,24,309.1666666666667
Q9445,UNION TPK & 141 ST,40.7172806,-73.81932997,12,308.3333333333333
B3661,GOTHAM AVE & SHELL BANK CREEK,40.58904772,-73.92842812,0,0.0
Q4742,24 AVE & 201 ST,40.77589957,-73.79089093,8,382.875
M1221,1 AVE & E 94 ST,40.78194718,-73.94566982,133,399.812030075188
R2798,RICHMOND AVE & ROCKLAND AVE,40.59529877,-74.16189941,13,342.53846153846155
M1504,5 AVE & E 128 ST,40.80833427,-73.94086063,58,296.87931034482756
B1843,GLENMORE AVE & PINE ST,40.67680551,-73.87130777,19,247.47368421052633
Q7934,45 AVE & 81 ST,40.74150481,-73.88387597,41,308.9512195121951
B1759,SUNNYSIDE AVE & BARBEY ST,40.68248486,-73.89028339,11,301.27272727272725
M1521,5 AVE & E 130 ST,40.80958142,-73.93994876,31,296.4516129032258
B3283,VOORHIES AVE & E 26 ST,40.58689038,-73.94318574,21,418.8095238095238
Q9149,68 RD & 108 ST,40.72629449,-73.84618699,14,339.57142857142856
Q9779,67 AVE & 214 ST,40.74341137,-73.76158679,7,279.42857142857144
B0972,ATLANTIC AVE & CLASSON AVE,40.67983113,-73.95829217,19,269.8421052631579
Q6350,MANOR RD & DOUGLAS RD,40.77719081,-73.74605457,6,466.5
Q8999,VAN WYCK XWAY W SVC RD & 105 AVE,40.69057272,-73.81037271,7,270.14285714285717
Q0034,LGA - PARKING GARAGE E/END ARRIVAL BLD,40.77278489,-73.87158358,0,0.0
Q6922,CROCHERON AVE & 170 ST,40.7627955,-73.79610662,12,264.9166666666667
M1778,ST NICHOLAS AVE OPP W 193 ST,40.85680813,-73.92826618,54,390.5740740740741
M1290,FDR DR & E 107 ST,40.78951095,-73.93750187,1,451.0
B2211,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,40.65593507,-73.91004188,30,268.46666666666664
Q3737,15 RD & 208 ST,40.78499848,-73.78562776,7,508.7142857142857
R4761,LORETTO LA & WATERFRONT,40.50402832,-74.21812604,0,0.0
B1586,CLARKSON AVE & E 40 ST,40.65600154,-73.94053215,9,371.55555555555554
R1947,RICHMOND AVE & DEPPE PL,40.61792217,-74.15577784,16,204.3125
B1978,DUMONT AVE & EMERALD ST,40.67138053,-73.85947417,1,230.0
B2573,14 AVE & 39 ST,40.63929771,-73.98408782,19,243.8421052631579
Q5578,93 RD & 224 ST,40.72291868,-73.73149717,3,246.0
Q3867,EAST HAMPTON BLVD & HARDING XWAY N,40.75218624,-73.74718849,5,255.0
Q9532,WOODHAVEN BLVD & 68 AVE,40.71548717,-73.86062663,6,379.3333333333333
M1275,2 AVE & E 101 ST,40.787442,-73.9447695,134,353.93283582089555
B1662,BLAKE AVE & CHESTER ST,40.66548902,-73.91062465,16,357.5
Q6427,HARDING XWAY N & OVERBROOK ST,40.75924987,-73.73611089,0,0.0
R2012,RICHMOND RD & HUNTER AVE,40.58368564,-74.10790852,2,235.0
Q3281,ASTORIA BLVD N & 76 ST,40.76678469,-73.89309377,0,0.0
Q5101,MYRTLE AVE & 73 ST,40.70229404,-73.87639785,5,246.0
B0793,LEXINGTON AVE & MALCOLM X BLVD\REID AVE,40.68997797,-73.93036357,57,205.01754385964912
Q7427,34 AVE & 28 ST,40.76079776,-73.92965062,13,313.0
M1230,FDR DR & E 97 ST,40.78363246,-73.94351861,9,447.6666666666667
Q2213,S/S QUEENS BLVD & 58 ST,40.74163074,-73.90770322,19,328.10526315789474
R1525,VICTORY BLVD & MOUNTAINVIEW AVE,40.61276831,-74.12687085,8,223.875
Q5121,CENTRAL AVE & 69 PL,40.70420133,-73.88287364,24,264.9166666666667
Q9839,97 AVE & SUTPHIN BLVD,40.6972619,-73.80573926,19,253.89473684210526
Q4074,FLUSHING AVE & ONDERDONK AVE,40.7114561,-73.91985955,12,317.0
Q5768,129 AVE & 236 ST,40.68043734,-73.73117919,3,413.0
B3604,OCEANVIEW AVE & BRIGHTON 2 ST,40.57880751,-73.96581492,40,298.3
M1407,5 AVE & E 118 ST,40.80197023,-73.94550864,64,348.078125
Q4818,JAMAICA AVE & SUTPHIN BLVD,40.70176553,-73.80792715,70,272.87142857142857
B1232,FLATBUSH AVE & PARK PL,40.67752281,-73.97271615,51,233.19607843137254
Q4514,22 AVE & 126 ST,40.78015379,-73.84239892,5,373.2
B1729,GLENMORE AVE & SHEFFIELD AVE,40.67301661,-73.89716712,14,332.07142857142856
Q6218,150 ST & 20 RD,40.78058083,-73.81429898,3,335.0
Q7671,ASTORIA BLVD & 81 ST,40.76517834,-73.88806563,5,374.6
X2875,NOBLE AVE & GLEASON AVE,40.82942885,-73.86968144,19,352.2631578947368
B0482,FURMAN ST & MONTAGUE ST,40.69599978,-73.99824027,9,299.77777777777777
Q2105,101 AVE & 84 ST,40.68160698,-73.85535333,34,345.8235294117647
Q9617,86 AVE & 105 ST,40.69724833,-73.84300917,11,267.90909090909093
R1016,TARGEE ST & STEUBEN ST,40.61072604,-74.08634215,11,233.0909090909091
B3828,DWIGHT ST & COFFEY ST,40.67422277,-74.01118011,3,257.3333333333333
B1611,E NEW YORK AVE & ST MARKS AVE,40.672948,-73.90925438,132,284.06060606060606
X3822,SETON AVE & E 233 ST,40.88893566,-73.83643359,15,385.8
Q1326,ROCKAWAY BEACH BLVD & BEACH 84 ST,40.58774216,-73.80986542,109,332.73394495412845
B0180,METROPOLITAN AVE & STEWART AVE,40.71420824,-73.92816525,13,261.0769230769231
X3969,ONEIDA AVE & E 236 ST,40.89769435,-73.87269698,6,422.3333333333333
Q5394,QUENCER RD & NEWBURGH ST,40.69563063,-73.76458044,9,300.55555555555554
X3837,EDENWALD AVE & WILDER AVE,40.89328577,-73.8419206,18,369.05555555555554
Q5061,FOCH BLVD & MERRICK BLVD,40.68701659,-73.77486249,13,207.84615384615384
X2883,SEABURY AVE & HERSHELL ST,40.83615871,-73.84246873,3,370.6666666666667
B4018,FLATLANDS AVE & FOUNTAIN AVE,40.66045225,-73.8671807,13,323.0769230769231
X3667,PRATT AVE & MAROLLA PLACE,40.88469455,-73.83591285,14,369.92857142857144
B2107,NEW LOTS AVE & HINSDALE ST,40.65983319,-73.89759944,16,268.5
B1446,4 AVE & 32 ST,40.65654952,-74.00209359,23,285.6521739130435
R1192,WESTERN AVE & RAILROAD CROSSING,40.63448668,-74.18184158,1,355.0
R1429,XENIA ST & HURLBERT ST,40.59215182,-74.08446979,1,303.0
R4689,PURDY PL & HOLTON AVE,40.51273272,-74.19368776,3,391.3333333333333
B1423,3 AVE & 29 ST,40.65954746,-74.00262349,15,306.93333333333334
B2895,CROPSEY AVE & 20 AVE,40.60020309,-74.00281297,30,311.46666666666664
B2934,AVE I & EAST 15 ST,40.62757082,-73.96184657,13,385.9230769230769
Q7072,GRAND AVE & E/S OF NY CONN RAILROAD,40.73049188,-73.88624327,1,377.0
R3768,CODY PL & CROCKER CT,40.55520322,-74.20190242,4,335.75
Q0082,SHEA STADIUM 700' W OF 126 ST & 38 AVE,40.75623317,-73.84642544,0,0.0
M0145,BROADWAY & THOMAS ST,40.71575994,-74.00497613,20,321.5
M1417,MORNINGSIDE AVE & W 119 ST,40.80754571,-73.95680544,11,286.27272727272725
M1782,AMSTERDAM AVE S OF FORT GEORGE AVE,40.85501103,-73.926036,18,383.8333333333333
R0428,VANDERBILT AVE & BAY ST,40.62246402,-74.07253552,9,246.44444444444446
M0428,AVENUE B & E 4 ST,40.72327798,-73.9825245,88,266.3636363636364
R0229,VICTORY BLVD & BAY ST,40.6377481,-74.07601777,65,276.3538461538462
B0919,SCHENECTADY AVE & PARK PL,40.6725145,-73.93355357,52,268.2307692307692
M1323,BROADWAY & W 108 ST,40.80292725,-73.96757497,47,302.51063829787233
Q4430,45 AVE & 160 ST,40.7565452,-73.80639406,17,356.52941176470586
M1798,10 AVE & W 202 ST,40.86131167,-73.921232,40,394.95
R0563,UTTER AVE & MANOR RD,40.61805942,-74.12362161,2,245.5
R2413,COMBS AVE 250' N OF CLARKE AVE/RVFD,40.56593022,-74.13205095,0,0.0
B3013,AVENUE M & E 17 ST,40.61821719,-73.95814639,21,292.6666666666667
R1983,WYONA AVE & HAWTHORNE AVE,40.61022205,-74.1489379,4,318.0
B0143,MANHATTAN AVE & FROST ST,40.71790704,-73.94665225,10,284.5
B2992,AVE M & EAST 15 ST,40.61801126,-73.96004232,17,290.94117647058823
Q9336,37 AVE & 111 ST,40.75414368,-73.85715508,11,361.27272727272725
M0089,PEARL ST & BEEKMAN ST,40.70808367,-74.00340211,9,333.44444444444446
B2587,11 AVE & 48 ST,40.63824637,-73.99594166,8,233.375
Q1314,ROCKAWAY BEACH BLVD & BEACH 75 ST,40.58866769,-73.80274869,21,346.57142857142856
X3778,FIELDSTON RD & W 245 ST,40.89171407,-73.90558681,6,338.8333333333333
Q4123,68 RD & 60 ST,40.70347577,-73.89981967,5,438.6
B2616,68 ST & 7 AVE E/S OF VZ BRIDGE APP,40.63178263,-74.01582528,10,374.5
B1709,LIBERTY AVE & SNEDIKER AVE,40.67357377,-73.90207722,3,347.6666666666667
Q7019,SW CORNER 73 ST & 57 AVE,40.72843098,-73.88858241,3,185.33333333333334
Q1422,CRONSTON AVE & BEACH 135 ST,40.57803909,-73.85511219,1,313.0
B2453,FOSTER AVE & E 21 ST,40.63679269,-73.95743328,37,216.86486486486487
Q2305,N/B CI PWAY AT 150 ST,40.78726003,-73.81286381,0,0.0
Q7402,32 AVE & 51 ST,40.75529168,-73.90846545,59,331.135593220339
X4030,BRUSH AVE & ROHR PL,40.82178334,-73.8378736,1,441.0
R1031,ELBE AVE & SABLE AVE,40.60604576,-74.08434222,2,197.0
Q7171,41 AVE & 21 ST,40.75399761,-73.94243021,36,279.9166666666667
Q5256,HILLSIDE AVE & 187 ST,40.71469631,-73.77529928,13,281.7692307692308
R3814,NELSON AVE & BELDEN ST,40.5474525,-74.14995202,0,0.0
Q6615,CROYDEN RD & MAYFIELD RD,40.71699938,-73.78961771,8,388.875
Q4485,SANFORD AVE & 149 ST,40.76037161,-73.81508733,8,208.875
