alarm_box_code,alarm_box_location,latitude,longitude,incident_count,average_response_time
B2653,3 AVE & 65 ST,40.63932033,-74.02354939,50,220.22
Q7917,WOODSIDE AVE & 69 ST,40.7426855,-73.89565167,22,306.8181818181818
B0801,MYRTLE AVE & PALMETTO ST,40.69953211,-73.9110349,82,200.609756097561
B1046,NEW YORK AVE & LEFFERTS AVE,40.66253364,-73.94791393,73,279.36986301369865
B0109,RIVER & NORTH 3 STS,40.71837562,-73.96462115,1,282.0
R2465,VINCENT AVE & COVERLY ST,40.57084247,-74.12510919,4,250.75
Q3506,59 AVE & 136 ST,40.74424412,-73.82953367,5,394.4
Q4382,WYCKOFF AVE & CENTRE ST,40.69635031,-73.90540128,35,260.48571428571427
Q6353,MANOR RD & CENTER DR,40.77632656,-73.75132309,2,327.0
Q4207,METROPOLITAN AVE & PLEASANTVIEW ST,40.71245415,-73.88205387,12,288.0833333333333
R0639,NARROWS RD N 1000' W OF FINGERBOARD RD,40.60586273,-74.07242765,0,0.0
X2557,E 167 ST & STEBBINS ST/POLITE AVE,40.82627431,-73.89840604,129,342.7674418604651
X4762,W/S PARK AVE & E 186 ST,40.85790201,-73.89341592,8,274.125
B2691,12 AVE & 59 ST,40.63075638,-74.00014289,20,246.9
Q7296,50 AVE & 47 ST,40.73735689,-73.91890954,12,307.4166666666667
M0107,WEST ST BTW MURRAY ST & WARREN ST,40.71579721,-74.01291703,3,369.6666666666667
Q7838,ROOSEVELT AVE & 88 ST,40.74822266,-73.87834313,43,365.93023255813955
Q3804,50 AVE & 210 ST,40.75281186,-73.77003288,2,350.0
B1571,NOSTRAND AVE & LINDEN BLVD,40.65264232,-73.94976875,133,298.70676691729324
B1936,STANLEY AVE & BERRIMAN ST,40.66329419,-73.87475187,7,273.85714285714283
Q4014,CYPRESS AVE OPP 78 AVE,40.69515789,-73.89861514,16,322.5625
Q4235,JUNIPER VALLEY RD & 75 ST,40.71548225,-73.87929945,13,344.6923076923077
B1240,4 AVE & ST MARKS PL,40.68185263,-73.9800351,19,296.36842105263156
R0712,JEWETT AVE & EGBERT AVE,40.62454541,-74.13191628,2,192.0
B3934,HERKIMER ST & JARDINE PL,40.6772081,-73.90513693,57,250.6315789473684
Q6253,5 AVE & 149 ST,40.79564319,-73.81900063,12,353.9166666666667
R0741,FOREST AVE & LIVERMORE AVE,40.6242952,-74.13722714,24,285.1666666666667
Q9445,UNION TPK & 141 ST,40.7172806,-73.81932997,12,303.25
B3661,GOTHAM AVE & SHELL BANK CREEK,40.58904772,-73.92842812,0,0.0
Q4742,24 AVE & 201 ST,40.77589957,-73.79089093,3,306.3333333333333
M1221,1 AVE & E 94 ST,40.78194718,-73.94566982,155,403.01935483870966
R2798,RICHMOND AVE & ROCKLAND AVE,40.59529877,-74.16189941,12,301.9166666666667
M1504,5 AVE & E 128 ST,40.80833427,-73.94086063,50,356.72
B1843,GLENMORE AVE & PINE ST,40.67680551,-73.87130777,10,231.9
Q7934,45 AVE & 81 ST,40.74150481,-73.88387597,88,312.85227272727275
B1759,SUNNYSIDE AVE & BARBEY ST,40.68248486,-73.89028339,7,349.2857142857143
M1521,5 AVE & E 130 ST,40.80958142,-73.93994876,29,321.48275862068965
B3283,VOORHIES AVE & E 26 ST,40.58689038,-73.94318574,28,409.5357142857143
Q9149,68 RD & 108 ST,40.72629449,-73.84618699,13,336.3076923076923
Q9779,67 AVE & 214 ST,40.74341137,-73.76158679,4,442.5
B0972,ATLANTIC AVE & CLASSON AVE,40.67983113,-73.95829217,21,247.33333333333334
Q6350,MANOR RD & DOUGLAS RD,40.77719081,-73.74605457,3,609.0
Q8999,VAN WYCK XWAY W SVC RD & 105 AVE,40.69057272,-73.81037271,11,237.8181818181818
Q0034,LGA - PARKING GARAGE E/END ARRIVAL BLD,40.77278489,-73.87158358,0,0.0
Q6922,CROCHERON AVE & 170 ST,40.7627955,-73.79610662,16,247.6875
M1778,ST NICHOLAS AVE OPP W 193 ST,40.85680813,-73.92826618,46,427.0217391304348
M1290,FDR DR & E 107 ST,40.78951095,-73.93750187,0,0.0
B2211,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,40.65593507,-73.91004188,46,310.89130434782606
Q3737,15 RD & 208 ST,40.78499848,-73.78562776,14,448.35714285714283
R4761,LORETTO LA & WATERFRONT,40.50402832,-74.21812604,1,784.0
B1586,CLARKSON AVE & E 40 ST,40.65600154,-73.94053215,9,427.8888888888889
R1947,RICHMOND AVE & DEPPE PL,40.61792217,-74.15577784,24,313.6666666666667
B1978,DUMONT AVE & EMERALD ST,40.67138053,-73.85947417,2,292.0
B2573,14 AVE & 39 ST,40.63929771,-73.98408782,26,262.0
Q5578,93 RD & 224 ST,40.72291868,-73.73149717,6,246.33333333333334
Q3867,EAST HAMPTON BLVD & HARDING XWAY N,40.75218624,-73.74718849,3,248.66666666666666
Q9532,WOODHAVEN BLVD & 68 AVE,40.71548717,-73.86062663,6,373.3333333333333
M1275,2 AVE & E 101 ST,40.787442,-73.9447695,139,333.0431654676259
B1662,BLAKE AVE & CHESTER ST,40.66548902,-73.91062465,30,296.53333333333336
Q6427,HARDING XWAY N & OVERBROOK ST,40.75924987,-73.73611089,0,0.0
R2012,RICHMOND RD & HUNTER AVE,40.58368564,-74.10790852,4,280.0
Q3281,ASTORIA BLVD N & 76 ST,40.76678469,-73.89309377,1,326.0
Q5101,MYRTLE AVE & 73 ST,40.70229404,-73.87639785,7,249.28571428571428
B0793,LEXINGTON AVE & MALCOLM X BLVD\REID AVE,40.68997797,-73.93036357,44,208.61363636363637
Q7427,34 AVE & 28 ST,40.76079776,-73.92965062,9,334.1111111111111
M1230,FDR DR & E 97 ST,40.78363246,-73.94351861,4,372.5
Q2213,S/S QUEENS BLVD & 58 ST,40.74163074,-73.90770322,24,319.0416666666667
R1525,VICTORY BLVD & MOUNTAINVIEW AVE,40.61276831,-74.12687085,7,253.14285714285714
Q5121,CENTRAL AVE & 69 PL,40.70420133,-73.88287364,18,265.22222222222223
Q9839,97 AVE & SUTPHIN BLVD,40.6972619,-73.80573926,29,265.51724137931035
Q4074,FLUSHING AVE & ONDERDONK AVE,40.7114561,-73.91985955,25,301.6
Q5768,129 AVE & 236 ST,40.68043734,-73.73117919,3,366.0
B3604,OCEANVIEW AVE & BRIGHTON 2 ST,40.57880751,-73.96581492,53,318.7169811320755
M1407,5 AVE & E 118 ST,40.80197023,-73.94550864,71,348.5492957746479
Q4818,JAMAICA AVE & SUTPHIN BLVD,40.70176553,-73.80792715,67,285.25373134328356
B1232,FLATBUSH AVE & PARK PL,40.67752281,-73.97271615,53,273.66037735849056
Q4514,22 AVE & 126 ST,40.78015379,-73.84239892,8,352.75
B1729,GLENMORE AVE & SHEFFIELD AVE,40.67301661,-73.89716712,6,234.16666666666666
Q6218,150 ST & 20 RD,40.78058083,-73.81429898,14,276.42857142857144
Q7671,ASTORIA BLVD & 81 ST,40.76517834,-73.88806563,2,368.5
X2875,NOBLE AVE & GLEASON AVE,40.82942885,-73.86968144,14,353.35714285714283
B0482,FURMAN ST & MONTAGUE ST,40.69599978,-73.99824027,10,292.2
Q2105,101 AVE & 84 ST,40.68160698,-73.85535333,49,298.16326530612247
Q9617,86 AVE & 105 ST,40.69724833,-73.84300917,10,415.9
R1016,TARGEE ST & STEUBEN ST,40.61072604,-74.08634215,5,223.4
B3828,DWIGHT ST & COFFEY ST,40.67422277,-74.01118011,3,283.3333333333333
B1611,E NEW YORK AVE & ST MARKS AVE,40.672948,-73.90925438,161,292.2608695652174
X3822,SETON AVE & E 233 ST,40.88893566,-73.83643359,29,378.13793103448273
Q1326,ROCKAWAY BEACH BLVD & BEACH 84 ST,40.58774216,-73.80986542,143,359.3076923076923
B0180,METROPOLITAN AVE & STEWART AVE,40.71420824,-73.92816525,8,196.125
X3969,ONEIDA AVE & E 236 ST,40.89769435,-73.87269698,7,422.0
Q5394,QUENCER RD & NEWBURGH ST,40.69563063,-73.76458044,5,296.8
X3837,EDENWALD AVE & WILDER AVE,40.89328577,-73.8419206,22,360.77272727272725
Q5061,FOCH BLVD & MERRICK BLVD,40.68701659,-73.77486249,3,243.33333333333334
X2883,SEABURY AVE & HERSHELL ST,40.83615871,-73.84246873,7,354.2857142857143
B4018,FLATLANDS AVE & FOUNTAIN AVE,40.66045225,-73.8671807,16,271.1875
X3667,PRATT AVE & MAROLLA PLACE,40.88469455,-73.83591285,12,367.3333333333333
B2107,NEW LOTS AVE & HINSDALE ST,40.65983319,-73.89759944,16,306.5
B1446,4 AVE & 32 ST,40.65654952,-74.00209359,22,292.1363636363636
R1192,WESTERN AVE & RAILROAD CROSSING,40.63448668,-74.18184158,3,424.3333333333333
R1429,XENIA ST & HURLBERT ST,40.59215182,-74.08446979,6,275.1666666666667
R4689,PURDY PL & HOLTON AVE,40.51273272,-74.19368776,1,521.0
B1423,3 AVE & 29 ST,40.65954746,-74.00262349,16,324.1875
B2895,CROPSEY AVE & 20 AVE,40.60020309,-74.00281297,41,300.3414634146341
B2934,AVE I & EAST 15 ST,40.62757082,-73.96184657,15,399.6
Q7072,GRAND AVE & E/S OF NY CONN RAILROAD,40.73049188,-73.88624327,4,227.0
R3768,CODY PL & CROCKER CT,40.55520322,-74.20190242,3,291.6666666666667
Q0082,SHEA STADIUM 700' W OF 126 ST & 38 AVE,40.75623317,-73.84642544,0,0.0
M0145,BROADWAY & THOMAS ST,40.71575994,-74.00497613,15,302.3333333333333
M1417,MORNINGSIDE AVE & W 119 ST,40.80754571,-73.95680544,14,268.92857142857144
